subject_id,speech_rate,speech_rate_ratio,verbal_fluency,lexical_richness,word_repetition_score,voice_fluency_pauses,voice_fluency_weighted,pause_level1_count,pause_level2_count,pause_level3_count,total_pause_time,total_speaking_time
0001,0.5851,0.94,27,24,0.0417,6,10,5,0,1,28.45,17.69
0002,0.4989,1.0,21,20,0.05,5,5,5,0,0,12.14,29.95
0003,0.1733,0.83,10,9,0.1111,8,20,3,4,1,52.17,5.52
0004,0.5032,0.92,23,22,0.0455,5,9,3,2,0,24.84,20.88
0005,0.4467,1.0,24,20,0.2,8,16,5,2,1,36.71,17.02
0006,0.2438,1.0,14,13,0.0769,4,10,2,1,1,45.9,11.53
0007,0.5913,0.95,29,23,0.2609,5,11,3,1,1,27.73,21.32
0008,0.2796,0.88,15,13,0.1538,8,16,5,2,1,44.53,9.12
0009,0.2268,0.9,13,12,0.0833,11,17,9,1,1,47.49,9.83
0010,1.2031,0.97,57,31,0.4839,3,3,3,0,0,10.77,36.6
0011,0.5095,0.95,26,22,0.1364,8,12,6,2,0,31.27,19.75
0012,0.5489,0.94,26,24,0.0833,6,10,4,2,0,27.56,19.81
0013,0.7345,0.95,29,28,0.0357,5,5,5,0,0,13.06,26.42
0014,0.2977,1.0,17,17,0.0,6,16,3,1,2,43.83,13.27
0015,0.5126,1.0,25,24,0.0417,7,9,6,1,0,23.64,25.13
0016,0.6511,0.96,31,26,0.1538,5,7,4,1,0,19.37,28.25
0017,0.8025,1.0,38,25,0.36,6,8,5,1,0,21.93,25.43
0018,0.6697,0.95,32,19,0.5263,6,12,3,3,0,29.75,18.03
0019,0.3075,1.0,15,14,0.0714,11,13,10,1,0,36.07,12.7
0020,0.5789,1.0,31,26,0.1538,10,10,10,0,0,30.6,22.95
0021,1.1014,1.0,51,42,0.1905,4,4,4,0,0,12.8,33.5
0022,0.7302,0.96,34,25,0.24,6,6,6,0,0,17.16,29.4
0023,1.1338,1.0,38,36,0.0556,1,1,1,0,0,2.5,31.01
0024,0.5141,1.0,26,23,0.087,7,9,6,1,0,24.86,25.72
0025,0.733,1.0,35,34,0.0294,6,6,6,0,0,18.41,29.34
0026,0.2194,1.0,12,12,0.0,7,17,4,1,2,43.79,10.9
0027,0.6889,0.94,33,30,0.1,8,10,7,1,0,27.52,20.38
0028,0.8502,0.96,36,30,0.1333,7,7,7,0,0,23.97,18.37
0029,0.597,1.0,29,29,0.0,8,10,7,1,0,28.47,20.11
0030,0.6528,0.94,31,27,0.1111,7,11,6,0,1,26.24,21.25
0031,0.3074,0.89,17,17,0.0,8,18,3,5,0,42.67,12.62
0032,0.1769,1.0,10,8,0.125,6,20,2,1,3,52.02,4.5
0033,0.5452,1.0,29,28,0.0357,8,10,7,1,0,26.24,26.96
0034,0.4907,0.95,24,22,0.0909,6,10,4,2,0,27.56,21.35
0035,0.4041,0.92,21,21,0.0,9,13,7,2,0,35.0,16.97
0036,1.386,1.0,60,47,0.1915,1,1,1,0,0,2.69,40.6
0037,0.2838,0.87,15,15,0.0,7,17,4,1,2,42.22,10.64
0038,0.2331,0.88,13,12,0.0833,7,19,2,4,1,47.31,8.46
0039,0.2918,1.0,14,14,0.0,5,11,3,1,1,33.26,14.72
0040,0.6321,1.0,30,26,0.1154,7,11,5,2,0,23.93,23.53
0041,0.8006,0.96,42,23,0.1739,5,7,4,1,0,19.55,32.91
0042,0.4336,1.0,22,21,0.0476,6,12,4,1,1,38.01,12.73
0043,0.8419,0.96,41,36,0.1111,4,4,4,0,0,13.18,35.52
0044,0.169,0.8,9,8,0.125,6,18,3,0,3,49.81,3.44
0045,0.4267,1.0,22,22,0.0,8,12,7,0,1,33.93,17.63
0046,0.761,0.96,40,33,0.1818,7,11,5,2,0,33.86,18.7
0047,0.4723,0.92,25,24,0.0417,8,14,5,3,0,35.53,17.41
0048,0.275,1.0,14,13,0.0769,4,10,2,1,1,35.06,15.85
0049,0.3753,1.0,19,19,0.0,5,15,2,1,2,38.55,12.07
0050,0.5003,0.93,25,23,0.087,8,12,6,2,0,33.64,16.33
0051,0.4826,0.94,23,21,0.0952,8,10,7,1,0,25.87,21.79
0052,0.437,1.0,21,15,0.3333,8,14,5,3,0,32.31,15.74
0053,0.682,0.95,33,27,0.2222,6,10,4,2,0,25.15,23.23
0054,0.323,1.0,17,13,0.2308,7,15,4,2,1,39.05,13.58
0055,0.3963,0.91,20,20,0.0,6,12,4,1,1,33.34,17.13
0056,0.5843,1.0,31,27,0.1481,7,13,5,1,1,35.69,17.37
0057,0.3687,0.91,21,20,0.05,7,15,4,2,1,43.03,13.93
0058,0.334,0.9,17,16,0.0625,10,16,8,1,1,40.47,10.42
0059,0.8317,0.97,40,35,0.1429,4,6,3,1,0,13.84,34.25
0060,0.5553,0.94,28,27,0.037,5,15,2,1,2,37.45,12.97
0061,0.4289,0.96,24,24,0.0,8,12,6,2,0,29.1,26.85
0062,0.3925,1.0,20,20,0.0,9,17,6,2,1,39.59,11.36
0063,0.958,1.0,46,32,0.2812,5,9,3,2,0,20.98,27.03
0064,0.3668,0.94,18,17,0.0588,6,8,5,1,0,25.59,23.49
0065,0.4033,1.0,21,20,0.05,6,14,3,2,1,35.42,16.65
0066,1.3208,0.97,51,39,0.1538,1,1,1,0,0,2.19,36.43
0067,0.5078,1.0,26,25,0.04,9,11,8,1,0,28.59,22.61
0068,0.3284,1.0,16,14,0.1429,7,11,5,2,0,35.21,13.5
0069,0.6339,1.0,32,26,0.1538,7,13,5,1,1,32.13,18.35
0070,0.4646,0.94,24,23,0.0435,10,12,9,1,0,31.04,20.62
0071,0.7266,1.0,33,29,0.1034,6,6,6,0,0,16.81,28.6
0072,0.3325,1.0,18,18,0.0,9,13,7,2,0,37.54,16.6
0073,0.6013,1.0,32,32,0.0,5,9,3,2,0,21.87,31.35
0074,0.341,1.0,16,16,0.0,7,15,4,2,1,37.16,9.76
0075,0.3242,1.0,18,15,0.2,8,18,5,1,2,44.2,11.32
0076,0.6351,1.0,33,29,0.1379,7,9,6,1,0,23.69,28.27
0077,0.529,0.94,25,22,0.1364,8,8,8,0,0,25.12,22.13
0078,1.1881,1.0,45,31,0.2581,3,3,3,0,0,6.79,31.09
